Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;counterbalance-nev8;checkpoint-hsvv;checkpoint-txsb;checkpoint-9u81;checkpoint-xbnd;Randomise questionnaire elements?;Question Key;Response
2;1684318054942;17/05/2023 10:07:34;1684318054840;2;17/05/2023 12:07:34;132490;1;questionnaire-6tk4;;29567742;ekzdbbeg;8794979;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1920x1080;1920x937;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;VisualizingTool;"l'esperimento si prefigge di indagare la percezione di volti felici nelle diverse configurazioni facciali che indicano felicità, creando una metà del compito in cui il soggetto aveva una penna in bocca per ""bloccare"" i meccanismi di mimica facciale che potevano aiutare a sintonizzarsi sull'espressione facciale di felicità dei volti presentati.
"
3;1684318057722;17/05/2023 10:07:37;1684318054843;2;17/05/2023 12:07:34;132490;1;questionnaire-6tk4;;29567742;ekzdbbeg;8794979;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1920x1080;1920x937;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;END QUESTIONNAIRE;149201
1;1684317893205;17/05/2023 10:04:53;1684317892978;2;17/05/2023 12:04:52;132490;1;questionnaire-6tk4;;29567739;dosr58cj;8794960;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 16.3;1440x900;1319x746;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;BEGIN QUESTIONNAIRE;
2;1684318278840;17/05/2023 10:11:18;1684318278380;2;17/05/2023 12:11:18;132490;1;questionnaire-6tk4;;29567739;dosr58cj;8794960;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 16.3;1440x900;1319x746;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;VisualizingTool;Probabilmente vuole indagare il riconoscimento dell'emozione dell'altro sulla base di diverse caratteristiche tenendo conto delle differenze nella percezione della felicità altrui e indagando anche la differenza tra l'avere la muscolatura facciale bloccata (a causa della penna in bocca) e quando invece il soggetto è libero di muoversi.
3;1684318278998;17/05/2023 10:11:18;1684318278383;2;17/05/2023 12:11:18;132490;1;questionnaire-6tk4;;29567739;dosr58cj;8794960;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 16.3;1440x900;1319x746;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;END QUESTIONNAIRE;385405
1;1684317692883;17/05/2023 10:01:32;1684317692772;2;17/05/2023 12:01:32;132490;1;questionnaire-6tk4;;29567653;p9pams4u;8794948;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1536x864;1536x714;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;BEGIN QUESTIONNAIRE;
2;1684318124161;17/05/2023 10:08:44;1684318123732;2;17/05/2023 12:08:43;132490;1;questionnaire-6tk4;;29567653;p9pams4u;8794948;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1536x864;1536x714;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;VisualizingTool;"l'esperimento ha il fine di studiare sia l'elaborazione-riconoscimento delle espressioni emotive nell'altro sia la mimica facciale  che si attiva anche solo osservando emozioni negli altri; alla base vi è l'idea che un blocco facciale (in questo caso dato dall'uso della penna) può limitare l'elaborazione e il riconsocimento delle emozioni altrui  e l'obiettivo è perciò comprendere l'impatto di queste limitazioni della capacità di mimica facciale nell'elaborazione e riconoscimento delle espressioni emotive"
3;1684318124320;17/05/2023 10:08:44;1684318123736;2;17/05/2023 12:08:43;132490;1;questionnaire-6tk4;;29567653;p9pams4u;8794948;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1536x864;1536x714;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;END QUESTIONNAIRE;430964
1;1684317373238;17/05/2023 09:56:13;1684317372715;2;17/05/2023 11:56:12;132490;1;questionnaire-6tk4;;29567557;0ugq32u8;8794930;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x625;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;BEGIN QUESTIONNAIRE;
2;1684317691702;17/05/2023 10:01:31;1684317691118;2;17/05/2023 12:01:31;132490;1;questionnaire-6tk4;;29567557;0ugq32u8;8794930;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x625;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;VisualizingTool;Con questo esperimento viene indagata l'elaborazione dei volti, il significato che viene dato alle espressioni facciali emozionali. L'esperimento di prefigge di testare se, bloccando la mimica facciale, si vada ad interferire con il meccanismo di simulazione sensomotoria e di conseguenza nell'elaborazione delle espressioni emozionali 
3;1684317692157;17/05/2023 10:01:32;1684317691120;2;17/05/2023 12:01:31;132490;1;questionnaire-6tk4;;29567557;0ugq32u8;8794930;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x625;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;END QUESTIONNAIRE;318406
1;1684315492252;17/05/2023 09:24:52;1684315490933;2;17/05/2023 11:24:50;132490;1;questionnaire-6tk4;;29566978;hhevl0hu;8794725;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 112.0.0.0;1280x800;1280x688;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;BEGIN QUESTIONNAIRE;
2;1684315698447;17/05/2023 09:28:18;1684315696973;2;17/05/2023 11:28:16;132490;1;questionnaire-6tk4;;29566978;hhevl0hu;8794725;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 112.0.0.0;1280x800;1280x688;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;VisualizingTool;"L'elaborazione delle espressioni facciali emotive (in questo caso felici) è modulata dalla presenza di oggetti ""ostacolanti"" (uso della penna) o è la stessa tra la condizione di ""blocco"" vs ""non blocco""? 
L'ipotesi su cui, secondo me, si basa l'esperimento è che la condizione di blocco moduli l'elaborazione e il giudizio delle espressioni facciali, rendendo il processo più difficile rispetto alla condizione di controllo.  "
3;1684315698573;17/05/2023 09:28:18;1684315696974;2;17/05/2023 11:28:16;132490;1;questionnaire-6tk4;;29566978;hhevl0hu;8794725;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 112.0.0.0;1280x800;1280x688;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;END QUESTIONNAIRE;206041
1;1684266309659;16/05/2023 19:45:09;1684266464405;2;16/05/2023 21:47:44;132490;1;questionnaire-6tk4;;29560517;54sk7y9s;8790841;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 113.0.0.0;1440x900;1440x788;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;BEGIN QUESTIONNAIRE;
2;1684266575925;16/05/2023 19:49:35;1684266730604;2;16/05/2023 21:52:10;132490;1;questionnaire-6tk4;;29560517;54sk7y9s;8790841;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 113.0.0.0;1440x900;1440x788;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;VisualizingTool;il riconoscimento della felicità può essere compromeso quando si assume un'espressione facciale che contrasta con quella di felicità, e questo effetto si può ottenere mettendo una penna fra i denti, così da bloccare la simulazione sensorimotoria che è alla base dell'empatia e del riconoscimento delle espressioni facciali delle emozioni.
3;1684266576001;16/05/2023 19:49:36;1684266730605;2;16/05/2023 21:52:10;132490;1;questionnaire-6tk4;;29560517;54sk7y9s;8790841;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 113.0.0.0;1440x900;1440x788;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;END QUESTIONNAIRE;266200
1;1684264883828;16/05/2023 19:21:23;1684264900025;2;16/05/2023 21:21:40;132490;1;questionnaire-6tk4;;29559812;uyvgsdji;8790694;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 113.0.1774.42;1366x768;1311x617;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;BEGIN QUESTIONNAIRE;
2;1684264979428;16/05/2023 19:22:59;1684264995489;2;16/05/2023 21:23:15;132490;1;questionnaire-6tk4;;29559812;uyvgsdji;8790694;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 113.0.1774.42;1366x768;1311x617;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;VisualizingTool;differenza tra sorriso vero e falso
3;1684264979543;16/05/2023 19:22:59;1684264995491;2;16/05/2023 21:23:15;132490;1;questionnaire-6tk4;;29559812;uyvgsdji;8790694;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 113.0.1774.42;1366x768;1311x617;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;END QUESTIONNAIRE;95466
1;1684258089598;16/05/2023 17:28:09;1684258084430;2;16/05/2023 19:28:04;132490;1;questionnaire-6tk4;;29557600;gxkljc0j;8790254;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x649;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;BEGIN QUESTIONNAIRE;
2;1684258161705;16/05/2023 17:29:21;1684258156591;2;16/05/2023 19:29:16;132490;1;questionnaire-6tk4;;29557600;gxkljc0j;8790254;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x649;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;VisualizingTool;Il tenere la penna in bocca potrebbe bloccare in parte il meccanismo di simulazione sensorimotoria intaccando cosi il riconoscimento delle espressioni, in particolare diminuendo l'accuratezza rispetto alla condizione senza penna.
3;1684258162056;16/05/2023 17:29:22;1684258156592;2;16/05/2023 19:29:16;132490;1;questionnaire-6tk4;;29557600;gxkljc0j;8790254;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x649;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;END QUESTIONNAIRE;72162
1;1684254627681;16/05/2023 16:30:27;1684254627007;2;16/05/2023 18:30:27;132490;1;questionnaire-6tk4;;29555929;m94twds4;8789863;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1920x1080;1920x937;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;BEGIN QUESTIONNAIRE;
2;1684254832834;16/05/2023 16:33:52;1684254832047;2;16/05/2023 18:33:52;132490;1;questionnaire-6tk4;;29555929;m94twds4;8789863;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1920x1080;1920x937;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;VisualizingTool;Potrebbe darsi che lo scopo fosse valutare come l'interpretazione che diamo a un volto (come felice o meno) vari in base al contesto (in questo caso forzando il confronto tra il volto precedente e quello successivo).
3;1684254832961;16/05/2023 16:33:52;1684254832049;2;16/05/2023 18:33:52;132490;1;questionnaire-6tk4;;29555929;m94twds4;8789863;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1920x1080;1920x937;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;END QUESTIONNAIRE;205042
1;1684243737935;16/05/2023 13:28:57;1684243738970;2;16/05/2023 15:28:58;132490;1;questionnaire-6tk4;;29548786;mzekp1m5;8788311;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1536x864;1536x714;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;BEGIN QUESTIONNAIRE;
2;1684243793996;16/05/2023 13:29:53;1684243795048;2;16/05/2023 15:29:55;132490;1;questionnaire-6tk4;;29548786;mzekp1m5;8788311;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1536x864;1536x714;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;VisualizingTool;Capire se i denti sono o meno influenti nell'interpretazione delle emozioni altrui.
3;1684243794109;16/05/2023 13:29:54;1684243795051;2;16/05/2023 15:29:55;132490;1;questionnaire-6tk4;;29548786;mzekp1m5;8788311;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1536x864;1536x714;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;END QUESTIONNAIRE;56082
1;1684227233359;16/05/2023 08:53:53;1684227232806;2;16/05/2023 10:53:52;132490;1;questionnaire-6tk4;;29542217;h2hz2ja6;8786587;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 113.0.1774.42;1366x768;1366x649;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;BEGIN QUESTIONNAIRE;
2;1684227283707;16/05/2023 08:54:43;1684227283202;2;16/05/2023 10:54:43;132490;1;questionnaire-6tk4;;29542217;h2hz2ja6;8786587;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 113.0.1774.42;1366x768;1366x649;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;VisualizingTool;"tenere in bocc ala penna può non far svoiluppar eil meccanismo di simulazione
"
3;1684227283777;16/05/2023 08:54:43;1684227283203;2;16/05/2023 10:54:43;132490;1;questionnaire-6tk4;;29542217;h2hz2ja6;8786587;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 113.0.1774.42;1366x768;1366x649;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;END QUESTIONNAIRE;50398
1;1684150066389;15/05/2023 11:27:46;1684150077265;2;15/05/2023 13:27:57;132490;1;questionnaire-6tk4;;29524779;u1vncu3w;8781158;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 112.0.0.0;1536x864;1536x746;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;BEGIN QUESTIONNAIRE;
2;1684150123521;15/05/2023 11:28:43;1684150134437;2;15/05/2023 13:28:54;132490;1;questionnaire-6tk4;;29524779;u1vncu3w;8781158;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 112.0.0.0;1536x864;1536x746;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;VisualizingTool;stavate indagando come il riconsocimento delle espressioni facciali ( in quetso caso la felicità) possano essere compromesse enl caso in cui venga bloccata la mimica facciale di chi osserva
3;1684150123637;15/05/2023 11:28:43;1684150134438;2;15/05/2023 13:28:54;132490;1;questionnaire-6tk4;;29524779;u1vncu3w;8781158;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 112.0.0.0;1536x864;1536x746;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;END QUESTIONNAIRE;57174
1;1684083148297;14/05/2023 16:52:28;1684083148160;2;14/05/2023 18:52:28;132490;1;questionnaire-6tk4;;29505712;8a1exxpn;8777673;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 16.3;1440x900;1440x820;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;BEGIN QUESTIONNAIRE;
2;1684083243293;14/05/2023 16:54:03;1684083242996;2;14/05/2023 18:54:02;132490;1;questionnaire-6tk4;;29505712;8a1exxpn;8777673;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 16.3;1440x900;1440x820;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;VisualizingTool;Se l'utilizzo della penna ha un'influenza sulla capacità di riconoscere le emozioni, andando a ridurre molto la possibilità di simulare le espressioni facciali.
3;1684083243382;14/05/2023 16:54:03;1684083242998;2;14/05/2023 18:54:02;132490;1;questionnaire-6tk4;;29505712;8a1exxpn;8777673;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 16.3;1440x900;1440x820;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;END QUESTIONNAIRE;94838
1;1684076288118;14/05/2023 14:58:08;1684076283925;2;14/05/2023 16:58:03;132490;1;questionnaire-6tk4;;29502700;x2zwt56f;8777202;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 112.0.1722.64;1366x768;1309x657;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;BEGIN QUESTIONNAIRE;
2;1684076340829;14/05/2023 14:59:00;1684076336701;2;14/05/2023 16:58:56;132490;1;questionnaire-6tk4;;29502700;x2zwt56f;8777202;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 112.0.1722.64;1366x768;1309x657;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;VisualizingTool;penso voglia indagare se il blocco della mimica facciale (con la penna) influisce sulla capacità di riconoscere l'intensità emotiva dell'espressione facciale
3;1684076340946;14/05/2023 14:59:00;1684076336703;2;14/05/2023 16:58:56;132490;1;questionnaire-6tk4;;29502700;x2zwt56f;8777202;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 112.0.1722.64;1366x768;1309x657;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;END QUESTIONNAIRE;52779
1;1684058836315;14/05/2023 10:07:16;1684058836213;2;14/05/2023 12:07:16;132490;1;questionnaire-6tk4;;29500844;wjkojs71;8776197;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 113.0.0.0;1440x900;1440x724;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;BEGIN QUESTIONNAIRE;
2;1684058913241;14/05/2023 10:08:33;1684058913188;2;14/05/2023 12:08:33;132490;1;questionnaire-6tk4;;29500844;wjkojs71;8776197;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 113.0.0.0;1440x900;1440x724;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;VisualizingTool;Penso di aver compreso ciò che voleva indagarel'esperimento, ovvero come il blocco della mimica facciale possa influenzare il nostro riconoscimento delle emozioni altrui.
3;1684058913351;14/05/2023 10:08:33;1684058913189;2;14/05/2023 12:08:33;132490;1;questionnaire-6tk4;;29500844;wjkojs71;8776197;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 113.0.0.0;1440x900;1440x724;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;END QUESTIONNAIRE;76976
1;1684005073192;13/05/2023 19:11:13;1684005073773;2;13/05/2023 21:11:13;132490;1;questionnaire-6tk4;;29498182;znwwesaa;8775149;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1280x720;1280x648;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;BEGIN QUESTIONNAIRE;
2;1684005116288;13/05/2023 19:11:56;1684005116903;2;13/05/2023 21:11:56;132490;1;questionnaire-6tk4;;29498182;znwwesaa;8775149;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1280x720;1280x648;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;VisualizingTool;Secondo me si voleva indagare l'influenza della muscolatura della bocca (immobilizzata nel mantenimento della penna) sul riconoscimento dell'emozione di felicità.
3;1684005116395;13/05/2023 19:11:56;1684005116906;2;13/05/2023 21:11:56;132490;1;questionnaire-6tk4;;29498182;znwwesaa;8775149;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1280x720;1280x648;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;No;END QUESTIONNAIRE;43133
1;1683992744247;13/05/2023 15:45:44;1683992743666;2;13/05/2023 17:45:43;132490;1;questionnaire-6tk4;;29496941;gmeofvtq;8774758;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x649;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;BEGIN QUESTIONNAIRE;
2;1683992777430;13/05/2023 15:46:17;1683992776899;2;13/05/2023 17:46:16;132490;1;questionnaire-6tk4;;29496941;gmeofvtq;8774758;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x649;feedback_check;;;Generic Feedback Questionnaire;5;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;No;VisualizingTool;"Testare come il blocco della mimica facciale possa interferire nel riconoscimento delle espressioni facciali altrui
"
